system:index,SPEI_01_month,.geo,converted_date
2018_01_01_0,-0.7378583,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-01-01
2018_02_01_0,-0.8064259,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-01-02
2018_03_01_0,0.19205771,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-01-03
2018_04_01_0,-1.4034501,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-01-04
2018_05_01_0,-0.47555405,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-01-05
2018_06_01_0,0.48112455,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-01-06
2018_07_01_0,0.12664586,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-01-07
2018_08_01_0,0.7353255,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-01-08
2018_09_01_0,-0.5129839,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-01-09
2018_10_01_0,-0.4883556,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-01-10
2018_11_01_0,-0.87072444,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-01-11
2018_12_01_0,1.06637,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-01-12
2019_01_01_0,-0.6684108,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-01-01
2019_02_01_0,-0.37353376,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-01-02
2019_03_01_0,-2.4247613,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-01-03
2019_04_01_0,-1.6245084,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-01-04
2019_05_01_0,-0.7945869,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-01-05
2019_06_01_0,-0.60509133,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-01-06
2019_07_01_0,1.2633861,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-01-07
2019_08_01_0,-1.473307,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-01-08
2019_09_01_0,0.9763853,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-01-09
2019_10_01_0,0.7965539,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-01-10
2019_11_01_0,-0.79712945,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-01-11
2019_12_01_0,0.36992982,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-01-12
2020_01_01_0,-0.015253876,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-01-01
2020_02_01_0,-0.99385196,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-01-02
2020_03_01_0,-1.0992914,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-01-03
2020_04_01_0,1.3903124,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-01-04
2020_05_01_0,-1.4457514,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-01-05
2020_06_01_0,-0.54641014,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-01-06
2020_07_01_0,-0.3998643,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-01-07
2020_08_01_0,-0.07193597,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-01-08
2020_09_01_0,1.1024592,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-01-09
2020_10_01_0,-0.18228622,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-01-10
2020_11_01_0,1.2719742,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-01-11
2020_12_01_0,0.37261808,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-01-12
2021_01_01_0,1.3231125,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-01
2021_02_01_0,0.18871222,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-02
2021_03_01_0,-1.2424107,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-03
2021_04_01_0,1.1950693,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-04
2021_05_01_0,0.6936093,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-05
2021_06_01_0,0.94478655,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-06
2021_07_01_0,1.3096765,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-07
2021_08_01_0,0.19641684,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-08
2021_09_01_0,-0.10735206,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-09
2021_10_01_0,-0.0972683,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-10
2021_11_01_0,2.1875987,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-11
2021_12_01_0,-0.32138053,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-12
2022_01_01_0,1.4571803,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-01
2022_02_01_0,-0.67101014,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-02
2022_03_01_0,-0.8379823,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-03
2022_04_01_0,-0.446034,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-04
2022_05_01_0,0.879865,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-05
2022_06_01_0,1.9061126,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-06
2022_07_01_0,0.4675311,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-07
2022_08_01_0,0.7757333,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-08
2022_09_01_0,-0.7269655,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-09
2022_10_01_0,0.5218816,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-10
2022_11_01_0,0.20267588,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-11
2022_12_01_0,1.3610255,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-12
